Год,Пол,Дисциплина,Имя спортсмена,Страна,Результат,Дата
2001,men,60 metres,Maurice GREENE,USA,6.39,03 MAR 2001
2001,men,100 metres,Maurice GREENE,USA,9.82,05 AUG 2001
2001,men,200 metres,Joshua J. JOHNSON,USA,19.88,24 AUG 2001
2001,men,400 metres,Tyree WASHINGTON,USA,44.28,12 MAY 2001
2001,women,60 metres,Natalya VINOGRADOVA,BLR,7.04,21 FEB 2001
2001,women,100 metres,Zhanna BLOCK,UKR,10.82,06 AUG 2001
2001,women,200 metres,LaTasha JENKINS,USA,22.39,23 JUN 2001
2001,women,400 metres,Katharine MERRY,GBR,49.59,11 JUN 2001
2002,men,60 metres,Morne NAGEL,RSA,6.48,27 JAN 2002
2002,men,100 metres,Maurice GREENE,USA,9.89,12 JUL 2002
2002,men,200 metres,Shawn CRAWFORD,USA,19.85,12 APR 2002
2002,men,400 metres,Leonard BYRD,USA,44.45,05 MAY 2002
2002,women,60 metres,Chioma AJUNWA,NGR,7.06,17 FEB 2002
2002,women,100 metres,Debbie FERGUSON,BAH,10.91,27 JUL 2002
2002,women,200 metres,Debbie FERGUSON,BAH,22.20,29 JUL 2002
2002,women,400 metres,Ana Gabriela GUEVARA,MEX,49.16,16 AUG 2002
2003,men,60 metres,Justin GATLIN,USA,6.45,01 MAR 2003
2003,men,100 metres,Patrick JOHNSON,AUS,9.93,05 MAY 2003
2003,men,200 metres,Bernard WILLIAMS,USA,20.01,11 JUL 2003
2003,men,400 metres,Tyree WASHINGTON,USA,44.33,21 JUN 2003
2003,women,60 metres,Veronica CAMPBELL-BROWN,JAM,7.09,01 FEB 2003
2003,women,100 metres,Chryste GAINES,USA,10.86,14 SEP 2003
2003,women,200 metres,Allyson FELIX,USA,22.11,03 MAY 2003
2003,women,400 metres,Ana Gabriela GUEVARA,MEX,48.89,27 AUG 2003
2004,men,60 metres,Jason GARDENER,GBR,6.46,15 FEB 2004
2004,men,100 metres,Justin GATLIN,USA,9.85,22 AUG 2004
2004,men,200 metres,Shawn CRAWFORD,USA,19.79,26 AUG 2004
2004,men,400 metres,Jeremy WARINER,USA,44.00,23 AUG 2004
2004,women,60 metres,Yuliya TABAKOVA,RUS,7.06,17 FEB 2004
2004,women,100 metres,Ivet LALOVA-COLLIO,BUL,10.77,19 JUN 2004
2004,women,200 metres,Veronica CAMPBELL-BROWN,JAM,22.05,25 AUG 2004
2004,women,400 metres,Tonique WILLIAMS-DARLING,BAH,49.07,12 SEP 2004
2005,men,60 metres,Ronald POGNON,FRA,6.45,13 FEB 2005
2005,men,100 metres,Asafa POWELL,JAM,9.77,14 JUN 2005
2005,men,200 metres,Wallace SPEARMON,USA,19.89,22 JUL 2005
2005,men,400 metres,Jeremy WARINER,USA,43.93,12 AUG 2005
2005,women,60 metres,Veronica CAMPBELL-BROWN,JAM,7.09,11 FEB 2005
2005,women,100 metres,Chandra STURRUP,BAH,10.84,05 JUL 2005
2005,women,200 metres,Allyson FELIX,USA,22.13,26 JUN 2005
2005,women,400 metres,Sanya RICHARDS-ROSS,USA,48.92,19 AUG 2005
2006,men,60 metres,Leonard SCOTT,USA,6.50,10 MAR 2006
2006,men,100 metres,Asafa POWELL,JAM,9.77,11 JUN 2006
2006,men,200 metres,Xavier CARTER,USA,19.63,11 JUL 2006
2006,men,400 metres,Jeremy WARINER,USA,43.62,14 JUL 2006
2006,women,60 metres,Me'Lisa BARBER,USA,7.01,10 MAR 2006
2006,women,100 metres,Sherone SIMPSON,JAM,10.82,24 JUN 2006
2006,women,200 metres,Sherone SIMPSON,JAM,22.00,25 JUN 2006
2006,women,400 metres,Sanya RICHARDS-ROSS,USA,48.70,16 SEP 2006
2007,men,60 metres,Marcus BRUNSON,USA,6.46,11 FEB 2007
2007,men,100 metres,Asafa POWELL,JAM,9.74,09 SEP 2007
2007,men,200 metres,Tyson GAY,USA,19.62,24 JUN 2007
